id,region,county,area,beach_name,beach_url,address,city,state,zip,latitude,longitude,park_name,owner,owner_url,activities,amenities,pet_policy,pets_allowed,fees,free_parking,phone,other_names
4750,Central,Santa Cruz,Aptos,Pot Belly Beach,https://www.californiabeaches.com/beach/pot-belly-beach/,McGregor Dr and New Brighton Rd,Aptos,CA,95003,36.977496,-121.929116,"",State Park,http://www.parks.ca.gov/?page_id=542,"Hiking, Beach Walking","Trails, No Facilities",Dogs allowed on leash,Y,"",N,"",Potbelly Beach
4751,Central,Santa Cruz,Aptos,Rio Del Mar Beach,https://www.californiabeaches.com/beach/rio-del-mar-beach/,131 Esplanade,Aptos,CA,95003,36.96806,-121.9053,Seacliff State Beach,State,http://www.parks.ca.gov/?page_id=543,"Sunbathing, Fishing, Picnicking, Swimming, Beach Walking","Fishing Pier, Restrooms, Showers, Historic Ship, Lifeguards, Benches",Dogs allowed on leash,Y,Fee for parking,N,"",""
4752,Central,Santa Cruz,Aptos,Seacliff State Beach,https://www.californiabeaches.com/beach/seacliff-state-beach/,State Park Dr and Santa Cruz Ave,Aptos,CA,95003,36.971641,-121.913283,Seacliff State Beach,State Park,http://www.parks.ca.gov/?page_id=543,"Fishing, Swimming, Sunbathing, Camping, Picnicking, Beach Walking","Campground, Fishing Pier, Historic Ship, Restrooms, Showers, Lifeguards, Picnic Tables, BBQs, Covered Picnic Areas, Cafe, Accessible Features",Dogs allowed on leash,Y,Fee for parking,N,"",""
4753,Central,Santa Cruz,Aptos,Seascape Park Beach,https://www.californiabeaches.com/beach/seascape-park-beach/,Seascape Blvd and Sumner Ave,Aptos,CA,95003,36.946949,-121.876523,Seascape Park,County,http://www.scparks.com/Home/Parks/ListofAllCountyParks/SeascapePark.aspx,"Walking, Picnicking","Grass Park, Trails, Benches, Picnic Tables, Restrooms, Kids Play Area",Dogs allowed on leash,Y,Free parking,Y,"",""
4754,Central,Santa Cruz,Capitola,Capitola Beach,https://www.californiabeaches.com/beach/capitola-beach/,San Jose Ave and Esplanade,Capitola,CA,95010,36.97153,-121.951273,"",City,"","Volleyball, Fishing, Sunbathing, Birdwatching, Surfing","Fishing Pier, Volleyball Courts, Lifeguard, Restrooms, Showers, Shops, Creek, Restaurants, Benches",No dogs allowed on the beach,N,Metered street parking,N,"",""
4661,Central,San Luis Obispo,San Simeon,Little Pico Creek Beach Access,https://www.californiabeaches.com/beach/little-pico-creek-beach-access/,Cabrillo Hwy,San,CA,93452,35.63353,-121.16423,Hearst San Simeon State Park,State Park,http://www.parks.ca.gov/?page_id=590,Beach Exploration,No Facilities,No dogs allowed on the beach,N,Free parking,Y,"",""
4755,Central,Santa Cruz,Capitola,Hooper Beach,https://www.californiabeaches.com/beach/hooper-beach/,Cliff Dr and Wharf Rd,Capitola,CA,95010,36.970963,-121.953992,"",City,"","Dog Walking, Birdwatching, Fishing",Fishing Pier,Dogs allowed off leash on west side of pier only,Y,Metered street parking,N,"",Hooper's
4756,Central,Santa Cruz,Capitola,New Brighton State Beach,https://www.californiabeaches.com/beach/new-brighton-state-beach/,Park Ave and McGregor Dr,Capitola,CA,95010,36.978458,-121.936025,New Brighton State Beach,State Park,http://www.parks.ca.gov/?page_id=542,"Fishing, Swimming, Camping, Hiking, Beach Walking, Bonfires","Campground, Trails, Restrooms, Picnic Tables, Fire Pits, Accessible Features",Dogs allowed on leash,Y,Fee for parking and camping,N,"",China Beach
4757,Central,Santa Cruz,Davenport,Big Creek Beach,https://www.californiabeaches.com/beach/big-creek-beach/,3564 Highway 1,Davenport,CA,95017,37.08731,-122.27392,"",State,"","Surfing, Tidepooling, Beach Walking, Beachcombing","Tide Pools, No Facilities",No dogs allowed on the beach,N,Free parking,Y,"","Waddell Reefs, Las Trancas Beach"
4758,Central,Santa Cruz,Davenport,Bonny Doon Beach,https://www.californiabeaches.com/beach/bonny-doon-beach/,Cabrillo Hwy and Bonny Doon Rd,Santa,CA,95060,37.000239,-122.181737,"Coast Dairies State Park, Bonny Doon State Beach",State Parks,"","Sunbathing, Photography","Dunes, Trails, No Facilities",No dogs allowed on the beach,N,Free parking,Y,"",""
4759,Central,Santa Cruz,Davenport,Davenport Beach,https://www.californiabeaches.com/beach/davenport-beach/,Cabrillo Hwy and Ocean St,Davenport,CA,95017,37.008829,-122.192943,Coast Dairies State Park,State Parks,"","Photography, Sunbathing, Beach Exploration, Caves","Tide Pools, Tunnel, No Facilities",Dogs allowed on leash,Y,Free parking,Y,"",San Vicente Beach
4760,Central,Santa Cruz,Davenport,Davenport Cove Beach,https://www.californiabeaches.com/beach/davenport-cove-beach/,Cabrillo Hwy,Davenport,CA,95017,37.004115,-122.185379,Coast Dairies State Park,State Parks,"","Walking, Photography, Beach Exploration","Trails, Rock Arch, Caves, No Facilities",No dogs allowed,N,Free parking,Y,"","Shark''s Tooth Beach, Shark Tooth, Shark Fin Cove, Jah Beach"
4761,Central,Santa Cruz,Davenport,Davenport Landing Beach,https://www.californiabeaches.com/beach/davenport-landing-beach/,335 Davenport Landing Rd,Davenport,CA,95017,37.02434,-122.216152,"Coast Dairies State Park, Davenport Landing State Beach",State Parks,"","Sunbathing, Whale Watching, Tidepooling, Windsurfing, Surfing","Restrooms, Tide Pools, Picnic Tables, Accessible Features, Benches, Kids Play Area","",Y,Free parking,Y,"",""
4762,Central,Santa Cruz,Davenport,Davenport Pier Beach,https://www.californiabeaches.com/beach/davenport-pier-beach/,Cabrillo Hwy and Cement Plant Rd,Davenport,CA,95017,37.012509,-122.199286,Coast Dairies State Park,"State, BLM","","Photography, Beach Exploration","Old Concrete Pier Ruins, Blowhole, Trails","",Y,Free parking,Y,"",""
4763,Central,Santa Cruz,Davenport,Greyhound Rock Coastal Access,https://www.californiabeaches.com/beach/greyhound-rock-coastal-access/,1551 Cabrillo Hwy,Davenport,CA,95017,37.078803,-122.267166,Greyhound Rock Fishing Access County Park,County,http://www.scparks.com/Home/Parks/BeachesandCoastalAccess.aspx,"Fishing, Beachcombing, Beach Walking, Tidepooling, Surfing","Viewing Platform, Restrooms, Picnic Tables, Tide Pools, Accessible Features, Benches",Dogs allowed on leash,Y,Free parking,Y,"",""
4764,Central,Santa Cruz,Davenport,Scott Creek Beach,https://www.californiabeaches.com/beach/scott-creek-beach/,Cabrillo Hwy,Davenport,CA,95017,37.03936,-122.22898,"Coast Dairies State Park, Scott Creek State Beach",State Parks,"","Beachcombing, Beach Exploration, Beach Walking, Windsurfing, Kiteboarding, Tidepooling, Surfing","Tide Pools, Dunes, Creek, No Facilities",No dogs allowed on the beach,N,Free parking,Y,"",""
4765,Central,Santa Cruz,Davenport,Secret Beach Of Coast Dairies,https://www.californiabeaches.com/beach/secret-beach-of-coast-dairies/,Cabrillo Hwy,Davenport,CA,95017,37.005999,-122.189789,Coast Dairies State Park,State Parks,"","Walking, Hiking, Beach Exploration","Trails, No Facilities","",Y,Free parking,Y,"",""
4766,Central,Santa Cruz,Davenport,Waddell Creek Beach,https://www.californiabeaches.com/beach/waddell-creek-beach/,3600 Highway 1,Davenport,CA,95017,37.096083,-122.279359,"Big Basin Redwoods State Park, Rancho del Oso, Theodore J. Hoover Natural Preserve",State Park,http://www.parks.ca.gov/?page_id=540,"Windsurfing, Kiteboarding, Surfing, Hiking, Mountain Biking, Equestrian Use, Backpacking, Driftwood, Bodyboarding, Birdwatching, Fishing, Beachcombing, Camping","Trails, Nature Trail, Campground, Restrooms",No dogs allowed on the beach,N,Fee for parking,N,"",Waddell State Beach
4767,Central,Santa Cruz,Santa Cruz,2222 Beach,https://www.californiabeaches.com/beach/2222-beach/,2222 W Cliff Dr,Santa,CA,95060,36.949754,-122.052893,"",City,"","Beach Exploration, Walking, Biking","No Facilities, Bike Lane",No dogs allowed on the beach,N,Free parking,Y,"",""
4768,Central,Santa Cruz,Santa Cruz,26Th Avenue Beach,https://www.californiabeaches.com/beach/26th-avenue-beach/,E Cliff Dr and 26th Ave,Santa,CA,95062,36.957773,-121.981537,"",City,"","Sunbathing, Beach Walking, Surfing",No Facilities,Dogs allowed on leash,Y,"",N,"",26th Street Beach
4769,Central,Santa Cruz,Santa Cruz,Three Mile Beach At Wilder Ranch State Park,https://www.californiabeaches.com/beach/three-mile-beach-at-wilder-ranch-state-park/,3050 Coast Rd,Santa,CA,95060,36.961483,-122.112686,Wilder Ranch State Park,State Park,http://www.parks.ca.gov/?page_id=549,"Hiking, Mountain Biking, Birdwatching","Trails, Wetlands",No dogs allowed on the beach,N,Free parking,Y,"",Three Mile Beach
4770,Central,Santa Cruz,Santa Cruz,36Th Avenue Beach Access,https://www.californiabeaches.com/beach/36th-avenue-beach-access/,E Cliff Dr and 36th Ave,Santa,CA,95062,36.957575,-121.969389,"",County,"",Surfing,"Benches, No Facilities, Bike Lane",Dogs allowed on leash,Y,"",N,"",""
4771,Central,Santa Cruz,Santa Cruz,38Th Avenue Beach Access,https://www.californiabeaches.com/beach/38th-avenue-beach-access/,E Cliff Dr and 38th Ave,Santa,CA,95062,36.958652,-121.967291,"",County,"","Sunbathing, Surfing","No Facilities, Bike Lane, Benches",Dogs allowed on leash,Y,"",N,"",""
4772,Central,Santa Cruz,Santa Cruz,Four Mile Beach At Wilder Ranch State Park,https://www.californiabeaches.com/beach/four-mile-beach-at-wilder-ranch-state-park/,Cabrillo Hwy,Santa,CA,95060,36.96622,-122.12281,Wilder Ranch State Park,State Park,http://www.parks.ca.gov/?page_id=549,"Surfing, Hiking, Mountain Biking, Birdwatching","Trails, Toilets, Lagoon, Wetlands",No dogs allowed on the beach,N,Free parking,Y,"",Four Mile Beach
4773,Central,Santa Cruz,Santa Cruz,Blacks Beach Santa Cruz,https://www.californiabeaches.com/beach/blacks-beach-santa-cruz/,198 14th Ave,Santa,CA,95062,36.96035,-121.993923,Twin Lakes State Beach,State Park,http://www.parks.ca.gov/?page_id=547,"Sunbathing, Picnicking, Surfing","Lifeguard, Toilets, Benches",Dogs allowed on leash,Y,"",N,"","Lincoln Beach, Lincoln''s"
4774,Central,Santa Cruz,Santa Cruz,Corcoran Lagoon Beach,https://www.californiabeaches.com/beach/corcoran-lagoon-beach/,E Cliff Dr and Coastview Dr,Santa,CA,95062,36.959521,-121.984735,"",County,"",Sunbathing,"Lagoon, No Facilities",Dogs allowed on leash,Y,"",N,"",21st Ave Beach
4775,Central,Santa Cruz,Santa Cruz,Cowell Beach,https://www.californiabeaches.com/beach/cowell-beach/,Pacific Ave and Beach St,Santa,CA,95060,36.961611,-122.024186,"",City,http://www.cityofsantacruz.com/index.aspx?page=926,"Surfing, Volleyball, Sunbathing","Pier, Volleyball Courts, Lifeguard, Restrooms",No dogs allowed on the beach,N,"",N,"",Cowell's Beach
4776,Central,Santa Cruz,Santa Cruz,Fern Grotto Beach At Wilder Ranch State Park,https://www.californiabeaches.com/beach/fern-grotto-beach-at-wilder-ranch-state-park/,1401 Old Coast Rd,Santa,CA,95060,36.954432,-122.087226,Wilder Ranch State Park,State Park,http://www.parks.ca.gov/?page_id=549,"Hiking, Mountain Biking, Birdwatching, Beach Exploration","Trails, Grotto, Cave",No dogs allowed on the beach,N,Fee for parking,N,"",Old Cove Landing
4777,Central,Santa Cruz,Santa Cruz,Hole In The Wall Beach,https://www.californiabeaches.com/beach/hole-in-the-wall-beach/,Cabrillo Hwy,Santa,CA,95060,36.991067,-122.168893,Coast Dairies State Park,State Parks,"","Sunbathing, Beach Exploration, Photography","Rock Arch, No Facilities",No dogs allowed on the beach,N,Free parking,Y,"",""
4778,Central,Santa Cruz,Santa Cruz,Its Beach,https://www.californiabeaches.com/beach/its-beach/,701 W Cliff Dr,Santa,CA,95060,36.951877,-122.028588,Lighthouse Field State Beach,City,"","Walking, Beach Exploration, Dog Walking, Birdwatching, Surfing","Lighthouse, Surfing Museum, Grass Park, Trails, Walking Path, Benches, Restrooms, Rock Arch, Bodyboarding",Dogs allowed off leash before 10am and after 4pm. OK on leash anytime.,Y,Free parking,Y,"",Dog Beach
4779,Central,Santa Cruz,Santa Cruz,Laguna Creek Beach,https://www.californiabeaches.com/beach/laguna-creek-beach/,Laguna Rd and Cabrillo Hwy,Santa,CA,95060,36.982989,-122.155899,Coast Dairies State Park,State Parks,"","Birdwatching, Sunbathing, Tidepooling, Hiking, Surfing","Lagoon, Tide Pools, Dunes, Wetlands, No Facilities",No dogs allowed on the beach,N,Free parking,Y,"",Laguna Creek State Beach
4780,Central,Santa Cruz,Santa Cruz,Lighthouse Field State Beach,https://www.californiabeaches.com/beach/lighthouse-field-state-beach/,701 W Cliff Dr,Santa,CA,95060,36.951502,-122.026439,Lighthouse Field State Beach,State Park,http://www.parks.ca.gov/?page_id=550,"Surfing, Walking, Biking, Skating, Running, Wildlife Watching, Birdwatching","Lighthouse, Surfing Museum, Grass Park, Trails, Restrooms, Picnic Tables, Benches",Dogs allowed on leash in the interior portion of the park,Y,Free parking,Y,"",""
4781,Central,Santa Cruz,Santa Cruz,Mitchells Cove Beach,https://www.californiabeaches.com/beach/mitchells-cove-beach/,W Cliff Dr and David Way,Santa,CA,95060,36.952844,-122.040473,"",City,"","Walking, Beach Exploration, Dog Walking","Toilets, Walking Path",Dogs allowed off leash before 10am and after 4pm. OK on leash anytime.,Y,Free parking,Y,"",Mitchell Cove
4782,Central,Santa Cruz,Santa Cruz,Moran Lake Park Beach,https://www.californiabeaches.com/beach/moran-lake-park-beach/,22798 E Cliff Dr,Santa,CA,95062,36.956281,-121.97817,Moran Lake County Park,County,http://www.scparks.com/Home/Parks/ListofAllCountyParks/MoranLakePark.aspx,"Surfing, Fishing, Picnicking, Sunbathing, Bird Watching","Picnic Tables, Restrooms, Trail, Lagoon",Dogs allowed on leash,Y,"",N,"",""
4783,Central,Santa Cruz,Santa Cruz,Natural Bridges State Beach,https://www.californiabeaches.com/beach/natural-bridges-state-beach/,2531 W Cliff Dr,Santa,CA,95060,36.95003,-122.057483,Natural Bridges State Beach,State Park,http://www.parks.ca.gov/?page_id=541,"Tidepooling, Birdwatching, Whale Watching, Sunbathing, Photography","Trails, Butterfly Preserve, Tide Pools, Rock Arch, Restrooms, Picnic Tables, BBQs, Lifeguard",No dogs allowed on the beach,N,Fee for parking in the park. Free parking at overlook lot on Cliff Dr.,Y,"",""
4784,Central,Santa Cruz,Santa Cruz,Panther Beach,https://www.californiabeaches.com/beach/panther-beach/,Cabrillo Hwy,Santa,CA,95060,36.992819,-122.170149,Coast Dairies State Park,State Parks,"","Sunbathing, Beach Exploration, Rock Climbing","Rock Arch, Caves, No Facilities",No dogs allowed on the beach,N,Free parking,Y,"",Yellow Bank Beach
4785,Central,Santa Cruz,Santa Cruz,Pleasure Point Park Beach,https://www.californiabeaches.com/beach/pleasure-point-park-beach/,E Cliff Dr and Pleasure Point Dr,Santa,CA,95062,36.955687,-121.971679,Pleasure Point Park,City,"","Surfing, Picnicking","Picnic Tables, Toilets, Bike Lane, Benches, Showers, Restrooms",Dogs allowed on leash,Y,Free street parking,Y,"",30th & East Cliff
4786,Central,Santa Cruz,Santa Cruz,Privates Beach,https://www.californiabeaches.com/beach/privates-beach/,4524 Opal Cliff Dr,Santa,CA,95062,36.965135,-121.960419,"",Private,"",Surfing,"No Facilities, Benches",No dogs on weekends and holidays,N,"",N,"",Key Beach
4787,Central,Santa Cruz,Santa Cruz,Red White And Blue Beach,https://www.californiabeaches.com/beach/red-white-and-blue-beach/,Scaroni Rd,Santa,CA,95060,36.97639,-122.141686,"",Private,http://redwhiteandbluebeach.com/,"Beach Exploration, Surfing, Birdwatching",No public facilities any more,No dogs allowed,N,They used to charge a fee for access but it is closed 24/7 now,N,"","RWB Beach, Majors Creek Beach"
4788,Central,Santa Cruz,Santa Cruz,Sand Hill Bluff,https://www.californiabeaches.com/beach/sand-hill-bluff/,5511 Coast Rd,Santa,CA,95060,36.97798,-122.14723,Sand Hill Bluff State Park,State Park,http://www.parks.ca.gov/?page_id=24203,"Sunbathing, Walking, Hiking, Birdwatching, Whale Watching",No Facilities,No dogs allowed on the beach,N,"",N,"",""
4789,Central,Santa Cruz,Santa Cruz,Sand Plant Beach At Wilder Ranch State Park,https://www.californiabeaches.com/beach/sand-plant-beach-at-wilder-ranch-state-park/,1401 Old Coast Rd,Santa,CA,95060,36.954655,-122.091244,Wilder Ranch State Park,State Park,http://www.parks.ca.gov/?page_id=549,"Hiking, Mountain Biking, Birdwatching","Trails, Wetlands",No dogs allowed on the beach,N,Fee for parking,N,"",""
4790,Central,Santa Cruz,Santa Cruz,Santa Cruz Harbor Beach,https://www.californiabeaches.com/beach/santa-cruz-harbor-beach/,E Cliff Dr and 5th Ave,Santa,CA,95062,36.962403,-122.000535,Twin Lakes State Beach,State Park,http://www.parks.ca.gov/?page_id=547,"Volleyball, Kayaking, Sunbathing, Sailing, Fishing, Boating","Volleyball Courts, Restaurant, Restrooms, Rentals",Dogs allowed on leash,Y,Paid parking lot,N,"",""
4791,Central,Santa Cruz,Santa Cruz,Santa Cruz Main Beach,https://www.californiabeaches.com/beach/santa-cruz-main-beach/,399 Beach St,Santa,CA,95060,36.963271,-122.01925,"",City,https://www.cityofsantacruz.com/government/city-departments/parks-recreation/parks-beaches-open-spaces/beaches-aquatics,"Volleyball, Sunbathing, Swimming, Mini Golf, Bowling, Walking, Kayaking, Fishing, Boating, Stand Up Paddleboarding","Lifeguard, Restrooms, Shops, Restaurant, Amusement Park, Arcade, Boardwalk, Pier, Volleyball Courts, Kayak Rentals, Train",No dogs allowed on the beach,N,"",N,"",""
4792,Central,Santa Cruz,Santa Cruz,Santa Marias Beach,https://www.californiabeaches.com/beach/santa-marias-beach/,E Cliff Dr and 20th Ave,Santa,CA,95062,36.960296,-121.987266,"",County,"","Sunbathing, Surfing",No Facilities,Dogs allowed on leash,Y,"",N,"",""
4793,Central,Santa Cruz,Santa Cruz,Seabright Beach,https://www.californiabeaches.com/beach/seabright-beach/,E Cliff Dr and Mott Ave,Santa,CA,95062,36.96361,-122.008509,Twin Lakes State Beach,State Park,http://www.parks.ca.gov/?page_id=547,"Surfing, Sunbathing, Swimming, Bonfires","Lifeguard, Restrooms, Lighthouse, Rock Arch, Fire Pits",Dogs allowed on leash,Y,"",N,"",Castle Beach
4794,Central,Santa Cruz,Santa Cruz,Steamer Lane,https://www.californiabeaches.com/beach/steamer-lane/,W Cliff Dr and Pelton Ave,Santa,CA,95060,36.952589,-122.025757,"",City,"",Surfing,"Restrooms, Benches, Grass Park, Trails","",Y,Free parking,Y,"",""
4795,Central,Santa Cruz,Santa Cruz,Strawberry Beach At Wilder Ranch State Park,https://www.californiabeaches.com/beach/strawberry-beach-at-wilder-ranch-state-park/,3050 Coast Rd,Santa,CA,95060,36.956344,-122.10207,Wilder Ranch State Park,State,http://www.parks.ca.gov/?page_id=549,"Hiking, Mountain Biking, Birdwatching",Trails,No dogs allowed on the beach,N,Free parking,Y,"",""
4796,Central,Santa Cruz,Santa Cruz,Sunny Cove,https://www.californiabeaches.com/beach/sunny-cove/,E Cliff Dr and Sunny Cove Dr,Santa,CA,95062,36.960534,-121.989489,"",County,"","Bodyboarding, Skimboarding, Sunbathing",No Facilities,Dogs allowed on leash,Y,"",N,"",""
4797,Central,Santa Cruz,Santa Cruz,The Hook,https://www.californiabeaches.com/beach/the-hook/,E Cliff Dr and 41st Ave,Santa,CA,95062,36.959783,-121.965129,"",County,"",Surfing,"Restrooms, Picnic Tables, Bike Lane, Benches, Showers",Dogs allowed on leash,Y,Free parking in lot,Y,"",41st Avenue Beach
4798,Central,Santa Cruz,Santa Cruz,Twin Lakes State Beach,https://www.californiabeaches.com/beach/twin-lakes-state-beach/,E Cliff Dr and 9th Ave,Santa,CA,95062,36.961472,-121.997826,"Twin Lakes State Beach, Schwan Lake Park",State Park,http://www.parks.ca.gov/?page_id=547,"Swimming, Sunbathing, Picnicking, Birdwatching, Bonfires","Restrooms, Showers, Lifeguard, Lagoon, Fire Pits, Wetlands",Dogs allowed on leash,Y,"",N,"",""
4799,Central,Santa Cruz,Santa Cruz,Wilder Beach At Wilder Ranch State Park,https://www.californiabeaches.com/beach/wilder-beach-at-wilder-ranch-state-park/,1401 Old Coast Rd,Santa,CA,95060,36.95332,-122.07833,"Wilder Ranch State Park, Wilder Beach Natural Preserve",State Park,http://www.parks.ca.gov/?page_id=549,"Hiking, Mountain Biking, Birdwatching, Equestrian Use, Walking, Surfing","Trails, Restrooms, Beach Viewing Platform, Historic Ranch, Gift Shop, Accessible Features",No dogs allowed in the park,N,Fee for parking,N,"",""
4800,Central,Santa Cruz,Santa Cruz,Younger Lagoon Beach,https://www.californiabeaches.com/beach/younger-lagoon-beach/,100 Shaffer Road,Santa,CA,95060,36.949047,-122.067002,"Joseph M. Long Marine Laboratory, Seymour Marine Discovery Center",University,http://seymourcenter.ucsc.edu/,"Wildlife Watching, Birdwatching, Tidepooling, Walking","Trails, Tours, Aquarium",No dogs allowed on the beach,N,"",N,"",""
4801,Central,Santa Cruz,Watsonville,Manresa State Beach,https://www.californiabeaches.com/beach/manresa-state-beach/,205 Manresa Beach Road,Watsonville,CA,95076,36.93196,-121.862803,Manresa State Beach,State Park,http://www.parks.ca.gov/?page_id=545,"Sunbathing, Picnicking, Fishing, Beach Walking, Bonfires","Lifeguard, Restrooms, Picnic Tables, Fire Pits, Campground",Dogs allowed on leash,Y,Fee for parking and camping,N,831-724-3750,""
4802,Central,Santa Cruz,Watsonville,Manresa Uplands Beach,https://www.californiabeaches.com/beach/manresa-uplands-beach/,Sand Dollar Dr and Manresa Uplands Rd,Watsonville,CA,95076,36.919277,-121.854166,Manresa State Beach,State Park,http://www.parks.ca.gov/?page_id=545,"Camping, Fishing, Beachcombing, Beach Walking","Campground, Picnic Tables, Restrooms, Lifeguard",Dogs allowed on leash,Y,"Fee for parking, camping",N,"",Sand Dollar Beach
4803,Central,Santa Cruz,Watsonville,Palm Beach,https://www.californiabeaches.com/beach/palm-beach/,W Beach Rd and Rio Boca Rd,Watsonville,CA,95076,36.867772,-121.820585,Sunset State Beach,State Park,http://www.parks.ca.gov/?page_id=544,"Fishing, Picnicking, Beach Walking, Beachcombing","Picnic Tables, BBQs, Restrooms, Showers, Lifeguards, Dunes",Dogs allowed on leash on the beach in front of the park but not in front of homes or condos,Y,"Fee to enter park, but free on street outside of gate",Y,"","Pajaro Beach, Palm State Beach"
