,Region,County,Area,Beach Name,Beach URL,Address1,Address2,Park Name,Owner URL,Activities,Amenities,Pet Policy,Fees,Phone,Other Names
10,Southern,San Diego County,Coronado,Centennial Park,https://www.californiabeaches.com/beach/centennial-park/,First Street and Orange Avenue,"Coronado, CA 92118","Centennial Park, Coronado Landing Park",https://www.coronado.ca.us/cms/one.aspx?portalId=746090&pageId=3814369,"Swimming, Biking, Sunbathing, Kayaking, Stand-Up Paddleboarding, Walking","Ferry, Restaurants, Paved Bike Path, Restrooms, Picnic Tables, Grass Park, Fishing Pier, Shops","No dogs allowed on beach, but ok on paths if leashed",Free parking,,
11,Southern,San Diego County,Coronado,Coronado Beach,https://www.californiabeaches.com/beach/coronado-beach/,Ocean Blvd and Isabella Ave,"Coronado, CA 92118",,https://www.coronado.ca.us/UserFiles/Servers/Server_746006/File/government/departments/Recreation%20and%20Golf/beaches/coronado%20beach%20map.pdf,"Surfing, Sunbathing, Swimming, Walking, Bonfires, Beach Walking, Fishing","Lifeguard, Restrooms, Picnic Tables, Fire Pits, Tide Pools, Sandcastles, Restaurants",No dogs allowed on the beach,Free parking,,Central Beach
12,Southern,San Diego County,Coronado,Coronado Dog Run Beach,https://www.californiabeaches.com/beach/coronado-dog-run-beach/,Ocean Blvd and Ocean Drive,"Coronado, CA 92118",Sunset Park,https://www.coronado.ca.us/UserFiles/Servers/Server_746006/File/government/departments/Recreation%20and%20Golf/beaches/coronado%20beach%20map.pdf,Dog Walking,"Off-Leash Dog Beach, Grass Park, Kids Play Area, Restrooms, Showers","Dogs allowed off leash on beach, but no dogs in park",Free street parking,,Coronado North Beach
13,Southern,San Diego County,Coronado,Coronado Shores Beach,https://www.californiabeaches.com/beach/coronado-shores-beach/,Avenue De Las Arenas and Silver Strand Blvd,"Coronado, CA 92118",,https://www.coronado.ca.us/UserFiles/Servers/Server_746006/File/government/departments/Recreation%20and%20Golf/beaches/coronado%20beach%20map.pdf,"Surfing, Sunbathing, Swimming, Beach Walking, Bodyboarding, Running, Walking","Lifeguard, Paved Path, No Facilities",No dogs allowed on the beach,Free parking,,South Beach
14,Southern,San Diego County,Coronado,Coronado Tidelands Park,https://www.californiabeaches.com/beach/coronado-tidelands-park/,Mullinex Dr and Glorietta Blvd,"Coronado, CA 92118",Tidelands Park,,"Swimming, Sunbathing, Biking, Running, Walking, Stand-Up Paddleboarding, Kayaking, Skateboarding","Grass Park, Kids Play Area, Picnic Tables, Skate Park, Paved Bike Path, Restrooms, Benches",No dogs allowed on the beach,Free parking,,
15,Southern,San Diego County,Coronado,Crown Cove Beach,https://www.californiabeaches.com/beach/crown-cove-beach/,5000 Highway 75,"Coronado, CA 92118","Crown Cove Aquatic Center, Silver Strand State Beach",http://www.swccd.edu/index.aspx?page=105,"Swimming, Boating, Sailing, Kayaking, Stand-Up Paddleboarding, Canoeing, Volleyball","Lifeguard, Boat Rentals, Picnic Tables, Fire Pits, Restrooms, Lessons, Accessible Trails, Volleyball Court",No dogs allowed on the beach,Fee to park at state beach,,
16,Southern,San Diego County,Coronado,Gator Beach Coronado,https://www.californiabeaches.com/beach/gator-beach-coronado/,Tarawa Road and Silver Strand Blvd,"Coronado, CA 92118",Naval Amphibious Base Coronado,,"Surfing, Volleyball","Picnic Tables, Volleyball Courts, Restrooms",,,,
17,Southern,San Diego County,Coronado,Glorietta Bay Park Beach,https://www.californiabeaches.com/beach/glorietta-bay-park-beach/,1834 Strand Way,"Coronado, CA 92118",Glorietta Bay Park,https://www.coronado.ca.us/cms/one.aspx?portalId=746090&pageId=3814937,"Swimming, Picnicking, Bonfires, Kayaking, Stand-Up Paddleboarding, Rowing, Boating, Biking, Running, Walking","Grass Park, Restrooms, Showers, Kids Play Area, Picnic Tables, Boat Launch, Fire Pits, Paved Bike Path, Lifeguard, Rentals, Benches",No dogs allowed on the beach,Free parking,,
18,Southern,San Diego County,Coronado,Grand Caribe Shoreline Park,https://www.californiabeaches.com/beach/grand-caribe-shoreline-park/,598 Grand Caribe Causeway ,"Coronado, CA 92118",Grand Caribe Shoreline Park,http://www.portofsandiego.org/grand-caribe-shoreline-park.html,"Biking, Walking, Kayaking","Trails, Paved Bike Path, Grass Park, Benches",Dogs allowed on leash,Free parking,,
19,Southern,San Diego County,Coronado,Silver Strand State Beach,https://www.californiabeaches.com/beach/silver-strand-state-beach/,5000 Highway 75,"Coronado, CA 92118","Silver Strand State Beach, Silver Strand Natural Reserve",http://www.parks.ca.gov/?page_id=654,"Fishing, Volleyball, Camping, Swimming, Surfing, Biking, Boating, Kiteboarding, Bonfires, Beach Walking","Campground, Fire Pits, Restrooms, Showers, Lifeguard, Picnic Tables, Paved Bike Path, Dunes","No dogs allowed on the beach, but ok in campground and parking lots if on a leash","Fee for parking, camping",,
20,Southern,San Diego County,Del Mar,Del Mar City Beach,https://www.californiabeaches.com/beach/del-mar-city-beach/,1660 Coast Blvd,"Del Mar, CA 92014",Powerhouse Park,http://www.delmar.ca.us/203/Beaches-Parks,"Swimming, Sunbathing, Beach Walking, Picnicking, Surfing","Grass Park, Picnic Tables, Kids Play Area, Lifeguard, Restrooms, Benches","Dogs not allowed on beach June 16th to Labor Day, but ok on-leash rest of year",Fee for parking in lots,,
21,Southern,San Diego County,Del Mar,Del Mar Dog Beach North Beach,https://www.californiabeaches.com/beach/del-mar-dog-beach-north-beach/,3200 Camino Del Mar,"Del Mar, CA 92014",James Scripps Bluff Preserve,http://www.delmar.ca.us/203/Beaches-Parks,"Volleyball, Fishing, Dog Walking, Surfing","Volleyball Courts, Trails, Beach Overlook, Lifeguard, Toilets, River","Dogs allowed on beach on-leash June 16th to Labor Day, and allowed off-leash after Labor Day to June 15th",Metered parking behind the beach,,
22,Southern,San Diego County,Del Mar,South Beach Of Del Mar,https://www.californiabeaches.com/beach/south-beach-of-del-mar/,Strattford Ct and 11th St,"Del Mar, CA 92014","Seagrove Park, Powerhouse Park",http://www.delmar.ca.us/203/Beaches-Parks,"Sunbathing, Beach Walking, Beachcombing, Surfing","Trails, Grass Park",Dogs allowed on-leash all year,Free street parking,,
23,Southern,San Diego County,Del Mar,Torrey Pines State Beach North Beach,https://www.californiabeaches.com/beach/torrey-pines-state-beach-north-beach/,Carmel Valley Rd and McGonigle Rd,"La Jolla, CA 92121","Torrey Pines State Beach, Los Penasquitos Marsh Natural Preserve, Torrey Pines State Natural Reserve",http://www.parks.ca.gov/?page_id=658,"Birdwatching, Hiking, Fishing, Swimming, Surfing, Sunbathing, Beach Walking","Lagoon, Lifeguard, Restrooms, Showers",No dogs allowed on the beach,"Fee for park entrance, but free street parking nearby",,
24,Southern,San Diego County,Encinitas,Beacons Beach,https://www.californiabeaches.com/beach/beacons-beach/,948 Neptune Avenue,"Encinitas, CA 92024",Leucadia State Beach,http://www.parks.ca.gov/?page_id=661,"Surfing, Sunbathing, Beachcombing, Beach Walking",No Facilities,No dogs allowed on the beach,Free parking,,Beacon Beach
25,Southern,San Diego County,Encinitas,Boneyard Beach,https://www.californiabeaches.com/beach/boneyard-beach/,450 D St,"Encinitas, CA 92024",,,"Surfing, Sunbathing, Beach Walking",No Facilities,No dogs allowed on the beach,Free parking,,Boneyards
26,Southern,San Diego County,Encinitas,Cardiff State Beach North Beach,https://www.californiabeaches.com/beach/cardiff-state-beach-north-beach/,2500 S Coast Highway 101,"Encinitas, CA 92007",Cardiff State Beach,http://www.parks.ca.gov/?page_id=656,"Surfing, Sunbathing, Scuba Diving, Snorkeling, Beach Walking, Kitesurfing","Lifeguard, Restrooms, Showers, Picnic Tables, BBQs",No dogs allowed on the beach,Fee for parking,,"George's, Restaurant Row, Cardiff Reef"
27,Southern,San Diego County,Encinitas,Seaside Beach At Cardiff State Beach,https://www.californiabeaches.com/beach/seaside-beach-at-cardiff-state-beach/,2504 S Coast Highway 101,"Solana Beach, CA 92075",Cardiff State Beach,http://www.parks.ca.gov/?page_id=656,"Surfing, Kiteboarding, Sunbathing, Snorkeling, Scuba Diving, Beach Walking","Lifeguard, Restrooms, Showers",Dogs allowed on leash,Fee for parking,,"Seaside Reef, Tabletops, Cardiff Reef"
28,Southern,San Diego County,Encinitas,D Street Beach,https://www.californiabeaches.com/beach/d-street-beach/,450 D Street,"Encinitas, CA 92024",,http://www.ci.encinitas.ca.us/Resident/Parks-Beaches-Trails/Beaches,"Surfing, Beach Walking","Lifeguard, Benches, Viewpoint",No dogs allowed on the beach,Free street parking,,
29,Southern,San Diego County,Encinitas,Encinitas Beach,https://www.californiabeaches.com/beach/encinitas-beach/,350 South El Portal,"Encinitas, CA 92024",,,"Sunbathing, Beach Walking, Beachcombing",No Facilities,No dogs allowed on the beach,Free parking at nearby beaches,,
30,Southern,San Diego County,Encinitas,Grandview Beach,https://www.californiabeaches.com/beach/grandview-beach/,1700 Neptune Avenue,"Encinitas, CA 92024",Leucadia State Beach,http://www.parks.ca.gov/?page_id=661,"Surfing, Sunbathing, Beach Walking, Beachcombing",No Facilities,No dogs allowed on the beach,,,
31,Southern,San Diego County,Encinitas,Moonlight State Beach,https://www.californiabeaches.com/beach/moonlight-state-beach/,386 B Street,"Encinitas, CA 92024",Moonlight State Beach,http://www.parks.ca.gov/?page_id=659,"Surfing, Sunbathing, Tennis, Volleyball, Bonfires, Beach Walking, Swimming","Lifeguard, Restrooms, Showers, Kids Play Area, Fire Pits, Picnic Tables, Tennis Court, Volleyball Courts, Snack Bar, Grass Park, Rentals",No dogs allowed on the beach,"Fee for parking in the lot, free street parking nearby",,
32,Southern,San Diego County,Encinitas,San Elijo State Beach,https://www.californiabeaches.com/beach/san-elijo-state-beach/,2050 S Coast Highway 101,"Encinitas, CA 92024",San Elijo State Beach,http://www.parks.ca.gov/?page_id=662,"Surfing, Sunbathing, Camping, Beach Walking","Campground, Restrooms, Showers, Picnic Tables, Camp Store, Famous Statue, Accessible Features, Lifeguard",No dogs allowed on the beach,Fee for parking,,
33,Southern,San Diego County,Encinitas,South Ponto Beach,https://www.californiabeaches.com/beach/south-ponto-beach/,Coast Hwy and La Costa Ave,"Encinitas, CA 92024",South Carlsbad State Beach,http://www.parks.ca.gov/?page_id=660,"Surfing, Sunbathing, Swimming, Fishing, Diving, Whale Watching","Restrooms, Showers, Lifeguard",No dogs allowed on the beach,"Fee for parking in lot, free parking outside",,
34,Southern,San Diego County,Encinitas,Stone Steps Beach,https://www.californiabeaches.com/beach/stone-steps-beach/,350 South El Portal,"Encinitas, CA 92024",,http://www.ci.encinitas.ca.us/Resident/Parks-Beaches-Trails/Beaches,"Surfing, Beach Walking, Beachcombing, Beach Walking","Lifeguard, No Facilities",No dogs allowed on the beach,Free street parking nearby,,Stonesteps Beach
35,Southern,San Diego County,Encinitas,Swamis Beach,https://www.californiabeaches.com/beach/swamis-beach/,1298 S Coast Highway 101,"Encinitas, CA 92024","Swamis Seaside Park, Sea Cliff Park",http://www.ci.encinitas.ca.us/Resident/Parks-Beaches-Trails/Beaches,"Surfing, Picnicking, Beach Walking, Tidepooling, Whale Watching","Restrooms, Showers, Picnic Tables, BBQs, Grass Park, Benches, Tide Pools",No dogs allowed on the beach,Free parking,,Swamis
36,Southern,San Diego County,Imperial Beach,Border Field State Park,https://www.californiabeaches.com/beach/border-field-state-park/,1500 Monument Rd,"San Diego, CA 92154",Border Field State Park,http://www.parks.ca.gov/?page_id=664,"Birdwatching, Hiking, Picnicking, Equestrian Use, Bonfires, Beach Walking","Trails, Wetlands, Restrooms, Fire Pits, Picnic Tables, BBQs, Group Picnic Areas","No dogs allowed on the beach, but ok on leash at picnic area","Fee for vehicles to enter, but free to walk in.",,
37,Southern,San Diego County,Imperial Beach,Imperial Beach City Beach,https://www.californiabeaches.com/beach/imperial-beach-city-beach/,Seacoast Drive and Evergreen Avenue,"Imperial Beach, CA 91932","Portwood Pier Plaza, Dunes Park",https://www.imperialbeachca.gov/index.asp?SEC=41C7870B-E92E-49C8-BB8D-F904C3A0D26C,"Surfing, Sunbathing, Fishing, Basketball, Beach Walking","Fishing Pier, Lifeguard, Grass Park, Restrooms, Showers, Picnic Tables, Kids Play Area, Basketball Court",No dogs allowed on beach between IB Blvd and Palm Ave. Small dog beach area entrance at Seacoast Dr and Carnation Ave.,,,
38,Southern,San Diego County,Imperial Beach,South Imperial Beach,https://www.californiabeaches.com/beach/south-imperial-beach/,Beach Ave and Seacoast Dr,"Imperial Beach, CA 91932",,https://www.imperialbeachca.gov/index.asp?SEC=41C7870B-E92E-49C8-BB8D-F904C3A0D26C,"Beach Walking, Sunbathing, Kiteboarding",No Facilities,Dogs allowed on leash,Free street parking,,
39,Southern,San Diego County,Imperial Beach,Tijuana Slough National Wildlife Refuge,https://www.californiabeaches.com/beach/tijuana-slough-national-wildlife-refuge/,1680 Seacoast Drive,"Imperial Beach, CA 91932","Tijuana River National Estuarine Research Reserve, Tijuana Slough National Wildlife Refuge",http://trnerr.org/,"Wildlife Watching, Birdwatching, Hiking, Beach Walking","Interpretive Trails, Visitor Center, Wetlands",Dogs allowed on leash,,,
40,Southern,San Diego County,La Jolla,Bird Rock Beach,https://www.californiabeaches.com/beach/bird-rock-beach/,Bird Rock Ave and Dolphin Place,"La Jolla, CA 92037",,,"Birdwatching, Wildlife Watching, Tidepooling","Tide Pools, No Facilities",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free street parking,,
41,Southern,San Diego County,La Jolla,Blacks Beach San Diego,https://www.californiabeaches.com/beach/blacks-beach-san-diego/,2800 Torrey Pines Scenic Dr,"La Jolla, CA 92037",Torrey Pines City Beach,http://www.sandiego.gov/lifeguards/beaches/blacks.shtml,"Surfing, Hang Gliding, Paragliding, Fishing, Whale Watching, Beach Exploration","Restrooms, Hang-Gliding Launch",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free parking,,Torrey Pines City Beach
42,Southern,San Diego County,La Jolla,Boomer Beach,https://www.californiabeaches.com/beach/boomer-beach/,1160 Coast Blvd,"La Jolla, CA 92037",Ellen Browning Scripps Park,http://www.sandiego.gov/park-and-recreation/parks/regional/shoreline/ebscripps.shtml,"Bodysurfing, Snorkeling, Scuba Diving, Whale Watching","Grass Park, Picnic Tables, Benches, Restrooms, Showers",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,Boomers
43,Southern,San Diego County,La Jolla,Calumet Park Beach,https://www.californiabeaches.com/beach/calumet-park-beach/,5445 Calumet Ave,"La Jolla, CA 92037",Calumet Park,http://www.sandiego.gov/park-and-recreation/parks/regional/shoreline/calumet.shtml,"Surfing, Beach Walking","Grass Park, Benches",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,
44,Southern,San Diego County,La Jolla,Camino De La Costa Beach Access,https://www.californiabeaches.com/beach/camino-de-la-costa-beach-access/,5990 Camino De La Costa,"La Jolla, CA 92037",,,Tidepooling,Tide Pools,Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free parking,,
45,Southern,San Diego County,La Jolla,Childrens Pool Beach,https://www.californiabeaches.com/beach/childrens-pool-beach/,Coast Blvd and Jenner St,"La Jolla, CA 92037",,https://www.sandiego.gov/lifeguards/beaches/pool,"Wildlife Watching, Tidepooling, Scuba Diving","Ocean Wall And Walkway, Restrooms, Showers, Benches, Lifeguard",No dogs allowed on the beach,Free street parking,,"Casa Beach, Childrens beach"
46,Southern,San Diego County,La Jolla,Flat Rock Beach At Torrey Pines,https://www.californiabeaches.com/beach/flat-rock-beach-at-torrey-pines/,Torrey Pines Park Rd,"La Jolla, CA 92037",Torrey Pines State Beach,http://www.parks.ca.gov/?page_id=658,"Hiking, Swimming, Fishing, Surfing","Trails, Visitor Center, Sea Cave, Restrooms",No dogs allowed on the beach,Fee for parking,,
47,Southern,San Diego County,La Jolla,Hospital Beach,https://www.californiabeaches.com/beach/hospital-beach/,445 Coast Blvd,"La Jolla, CA 92037",Coast Boulevard Park,,"Scuba Diving, Snorkeling, Walking, Surfing, Tidepooling, Photography","Tide Pools, Benches, Picnic Table",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free street parking,,"Hospitals, La Jolla Tide Pools"
48,Southern,San Diego County,La Jolla,La Jolla Caves Beach,https://www.californiabeaches.com/beach/la-jolla-caves-beach/,7957 Princess St,"La Jolla, CA 92037",,,"Kayaking, Snorkeling, Cave Exploration, Tidepooling, Stand-Up Paddleboarding","Caves, Tide Pools, Rock Arch, No Facilities",,Free street parking,,
49,Southern,San Diego County,La Jolla,La Jolla Cove Beach,https://www.californiabeaches.com/beach/la-jolla-cove-beach/,1160 Coast Blvd,"La Jolla, CA 92037","Ellen Browning Scripps Park, Matlahuayl State Marine Reserve",http://www.sandiego.gov/lifeguards/beaches/cove.shtml,"Snorkeling, Scuba Diving, Swimming, Birdwatching, Wildlife Watching","Lifeguard, Restrooms, Showers, Benches, Picnic Tables, Grass Park, Tide Pools",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free parking,,
50,Southern,San Diego County,La Jolla,La Jolla Shores Beach,https://www.californiabeaches.com/beach/la-jolla-shores-beach/,Camino Del Oro and Calle Frescota,"La Jolla, CA 92037","La Jolla Shores Park, Kellogg Park",http://www.sandiego.gov/lifeguards/beaches/shores.shtml,"Surfing, Volleyball, Scuba Diving, Sunbathing, Swimming, Picnicking, Kayaking, Scuba Diving, Sunbathing, Beach Walking, Stand-Up Paddleboarding","Grass Park, Picnic Tables, Kids Play Area, Volleyball Courts, Lifeguard, Rentals, Boat Launch, Fire Pits",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free parking,,
51,Southern,San Diego County,La Jolla,La Jolla Strand Beach,https://www.californiabeaches.com/beach/la-jolla-strand-beach/,Neptune Place and Kolmar Street,"La Jolla, CA 92037","La Jolla Strand Park, Neptune Park",,"Sunbathing, Surfing, Scuba Diving","Benches, Toilet, Tide Pools",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,
52,Southern,San Diego County,La Jolla,Linda Way Beach Access,https://www.californiabeaches.com/beach/linda-way-beach-access/,341 Sea Ridge Dr,"La Jolla, CA 92037",,,"Beachcombing, Tidepooling, Surfing, Windsurfing, Kiteboarding","Tide Pools, No Facilities",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,Sea Ridge Beach
53,Southern,San Diego County,La Jolla,Marine Street Beach,https://www.californiabeaches.com/beach/marine-street-beach/,Marine Street and Vista Del Mar Ave,"La Jolla, CA 92037",,,"Sunbathing, Surfing, Bodysurfing, Bodyboarding, Scuba Diving, Fishing",No Facilities,Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free street parking,,
54,Southern,San Diego County,La Jolla,Scripps Beach,https://www.californiabeaches.com/beach/scripps-beach/,La Jolla Shores Dr and El Paseo Grande,"La Jolla, CA 92037",,https://scripps.ucsd.edu/piercam,"Surfing, Sunbathing, Swimming, Kayaking, Beach Walking","Pier, Lifeguard",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,
55,Southern,San Diego County,La Jolla,Shell Beach La Jolla,https://www.californiabeaches.com/beach/shell-beach-la-jolla/,1000 Coast Blvd,"La Jolla, CA 92037",Ellen Browning Scripps Park,http://www.sandiego.gov/park-and-recreation/parks/regional/shoreline/ebscripps.shtml,"Tidepooling, Snorkeling, Scuba Diving","Grass Park, Tide Pools, Lifeguard",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,
56,Southern,San Diego County,La Jolla,South Blacks Beach,https://www.californiabeaches.com/beach/south-blacks-beach/,La Jolla Farms Rd and Blackgold Rd,"La Jolla, CA 92037","Torrey Pines City Beach, Scripps Coastal Reserve",,"Surfing, Beach Walking",No Facilities,Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free street parking,,
57,Southern,San Diego County,La Jolla,South Casa Beach,https://www.californiabeaches.com/beach/south-casa-beach/,849 Coast Blvd,"La Jolla, CA 92037",,,"Scuba Diving, Snorkeling, Sunbathing","Restrooms, Showers, Lifeguard, Benches",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,
58,Southern,San Diego County,La Jolla,Torrey Pines State Beach North Beach,https://www.californiabeaches.com/beach/torrey-pines-state-beach-north-beach/,Carmel Valley Rd and McGonigle Rd,"La Jolla, CA 92121","Torrey Pines State Beach, Los Penasquitos Marsh Natural Preserve, Torrey Pines State Natural Reserve",http://www.parks.ca.gov/?page_id=658,"Birdwatching, Hiking, Fishing, Swimming, Surfing, Sunbathing, Beach Walking","Lagoon, Lifeguard, Restrooms, Showers",No dogs allowed on the beach,"Fee for park entrance, but free street parking nearby",,
59,Southern,San Diego County,La Jolla,Torrey Pines State Beach South Beach,https://www.californiabeaches.com/beach/torrey-pines-state-beach-south-beach/,N Torrey Pines Rd,"La Jolla, CA 92037","Torrey Pines State Beach, Los Penasquitos Marsh Natural Preserve, Torrey Pines State Natural Reserve, Ellen Browning Scripps Natural Preserve",http://www.parks.ca.gov/?page_id=658,"Hiking, Birdwatching, Swimming, Fishing, Surfing, Sunbathing, Beach Walking, Whale Watching","Lifeguard, Restrooms, Picnic Tables",No dogs allowed on the beach,Fee for parking,,
60,Southern,San Diego County,La Jolla,Tourmaline Surfing Park Beach,https://www.californiabeaches.com/beach/tourmaline-surfing-park-beach/,La Jolla Blvd and Tourmaline St,"La Jolla, CA 92109",Tourmaline Surfing Park,https://www.sandiego.gov/lifeguards/beaches/northpb,"Surfing, Windsurfing, Kiteboarding, Bonfires","Lifeguards, Restrooms, Showers, Fire Pits, Picnic Tables, BBQs",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free parking,,Tourmo
61,Southern,San Diego County,La Jolla,Whispering Sands Beach,https://www.californiabeaches.com/beach/whispering-sands-beach/,202 Coast Blvd,"La Jolla, CA 92037",Nicholson Point Park,,"Surfing, Sunbathing, Tidepooling, Scuba Diving","Tide Pools, No Facilities",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,Horseshoe Reef
62,Southern,San Diego County,La Jolla,Windansea Beach,https://www.californiabeaches.com/beach/windansea-beach/,Neptune Place and Nautilus Street,"La Jolla, CA 92037",,http://www.sandiego.gov/lifeguards/beaches/windan.shtml,"Sunbathing, Surfing, Scuba Diving","Benches, Tide Pools, Lifeguard",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,,,
63,Southern,San Diego County,La Jolla,Wipeout Beach,https://www.californiabeaches.com/beach/wipeout-beach/,745 Coast Blvd,"La Jolla, CA 92037",,,"Sunbathing, Walking, Scuba Diving, Tidepooling","Tide Pools, No Facilities",Leashed dogs allowed on beach before 9am and after 6pm from April-Oct. (changes to 4pm Nov.-March).,Free street parking,,
64,Southern,San Diego County,Oceanside,Breakwater Way Beach,https://www.californiabeaches.com/beach/breakwater-way-beach/,N Pacific Street and Breakwater Way,"Oceanside, CA 92054",,,"Sunbathing, Walking, Volleyball","Lifeguard, Restrooms, Showers, Picnic Tables, BBQs, Volleyball Courts",No dogs allowed on the beach,,,
