,id,title,name1,latitude,longitude,address,city,county,state,zip,county,active,grade_updated,dry_grade,wet_grade,annual_summer_dry,annual_year_wet,annual_winter_dry,annual_year,grade_created
45,3,Broad Beach at Trancas Creek mouth,Broad Beach,34.028858000000000,-118.842711000000000,,Malibu,Los Angeles,CA,90265,Los Angeles,True,2021-04-02T00:00:00.000Z,A+,ns,A,A+,A,2018,2021-04-02T00:00:00.000Z
46,257,Butterfly Beach,Butterfly Beach,34.417278000000000,-119.647556000000000,,Montecito,Santa Barbara,CA,93108,Santa Barbara,True,2021-04-02T00:00:00.000Z,A+,ns,A+,A,ns,2018,2021-04-02T00:00:00.000Z
47,628,Cabrillo Beach - harborside at lifeguard tower,Cabrillo Beach,33.710669000000000,-118.282884000000000,,San Pedro,Los Angeles -- LA City,CA,90731,Los Angeles -- LA City,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
48,60,Cabrillo Beach - harborside at restrooms,Cabrillo Beach,33.711160000000000,-118.282941000000000,,San Pedro,Los Angeles -- LA City,CA,90731,Los Angeles -- LA City,True,2021-04-02T00:00:00.000Z,F,B,D,F,F,2018,2021-04-02T00:00:00.000Z
49,61,Cabrillo Beach- harborside at boat launch,Cabrillo Beach,33.713392000000000,-118.283884000000000,,San Pedro,Los Angeles -- LA City,CA,90731,Los Angeles -- LA City,True,2021-04-02T00:00:00.000Z,A+,C,A,C,C,2018,2021-04-02T00:00:00.000Z
50,59,Cabrillo Beach- oceanside,Cabrillo Beach,33.708894000000000,-118.284008000000000,,San Pedro,Los Angeles -- LA City,CA,90731,Los Angeles -- LA City,True,2021-04-02T00:00:00.000Z,A,A+,,,,,2021-04-02T00:00:00.000Z
51,266,"Camp Pendleton, Camp del Mar (near 9th St.)",Camp Pendleton,33.218350000000000,-117.406170000000000,,Oceanside,San Diego,CA,92054,San Diego,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
52,485,Campbell Cove State Park Beach,Campbell Cove State Park Beach,38.304910621000000,-123.057116030000000,,Bodega Bay,Sonoma,CA,94923,Sonoma,True,2020-11-06T00:00:00.000Z,B,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
53,579,"Candlestick Point, Jackrabbit Beach",Candlestick Point,37.711433330000000,-122.380083333000000,,San Francisco,San Francisco,CA,94124,San Francisco,True,2021-04-02T00:00:00.000Z,A+,A+,A,C,A,2018,2021-04-02T00:00:00.000Z
54,581,"Candlestick Point, Sunnydale Cove",Candlestick Point,37.709550000000000,-122.389883333000000,,San Francisco,San Francisco,CA,94124,San Francisco,True,2021-04-02T00:00:00.000Z,A+,A+,A,F,A,2018,2021-04-02T00:00:00.000Z
55,580,"Candlestick Point, Windsurfer Circle",Candlestick Point,37.709133330000000,-122.382300000000000,,San Francisco,San Francisco,CA,94124,San Francisco,True,2021-04-02T00:00:00.000Z,A+,C,B,F,F,2018,2021-04-02T00:00:00.000Z
56,1061,Capistrano Bay Community Beach (Point Zero),Capistrano County Beach,33.452810000000000,-117.665570000000000,,,Orange,CA,,Orange,True,2019-09-06T00:00:00.000Z,A+,ns,,,,,2019-09-06T00:00:00.000Z
57,1060,Capistrano County Beach drain (Point Zero),Capistrano County Beach,33.453447000000000,-117.666969000000000,,,Orange,CA,,Orange,True,2019-09-20T00:00:00.000Z,A+,ns,,,,,2019-09-20T00:00:00.000Z
58,1046,Capistrano Shores North (Point Zero),San Clemente,33.435200000000000,-117.638070000000000,,,Orange,CA,,Orange,True,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
59,1047,Capistrano Shores South (Point Zero),San Clemente,33.432710000000000,-117.634840000000000,,,Orange,CA,,Orange,True,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
60,442,"Capitola Beach, east of the Capitola Pier",Capitola Beach,118.000000000000000,80.000000000000000,,,Santa Cruz,CA,,Santa Cruz,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
61,444,"Capitola Beach, east of the jetty",Capitola Beach,36.971748000000000,-121.949735000000000,,Capitola,Santa Cruz,CA,95010,Santa Cruz,True,2021-04-02T00:00:00.000Z,A+,F,A,B,A,2018,2021-04-02T00:00:00.000Z
62,443,"Capitola Beach, west of the jetty",Capitola Beach,36.971191000000000,-121.951009000000000,,Capitola,Santa Cruz,CA,95010,Santa Cruz,True,2021-04-02T00:00:00.000Z,D,F,B,C,C,2018,2021-04-02T00:00:00.000Z
63,441,"Capitola, Hooper's Beach","Capitola, Hooper's Beach",118.000000000000000,80.000000000000000,,,Santa Cruz,CA,,Santa Cruz,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
64,599,Carbon Beach at Sweetwater Canyon,Carbon Beach,34.037801000000000,-118.673876000000000,,Malibu,Los Angeles -- LA City,CA,90265,Los Angeles -- LA City,True,2021-04-02T00:00:00.000Z,A+,A+,A+,C,A,2018,2021-04-02T00:00:00.000Z
65,299,Cardiff State Beach Charthouse parking (slight S. of Kilkeny),Cardiff State Beach,33.011892000000000,-117.279937000000000,,Cardiff By The S,San Diego -- San Elijo,CA,92007,San Diego -- San Elijo,True,2021-03-19T00:00:00.000Z,A,A+,A,B,A+,2018,2021-03-19T00:00:00.000Z
66,300,"Cardiff State Beach, Las Olas (100 yds. south of Charthouse)",Cardiff State Beach,33.005833,-117.278472,,Cardiff By The S,San Diego -- San Elijo,CA,92007,San Diego -- San Elijo,True,2021-03-19T00:00:00.000Z,A+,A+,A+,B,A+,2018,2021-03-19T00:00:00.000Z
67,294,"Cardiff State Beach, San Elijo Lagoon outlet",Cardiff State Beach,33.015493000000000,-117.281556000000000,,Cardiff By The S,San Diego -- San Elijo,CA,92007,San Diego -- San Elijo,True,2021-04-02T00:00:00.000Z,A+,A+,A,A+,ns,2018,2021-04-02T00:00:00.000Z
68,301,"Cardiff State Beach, Seaside State Park",Cardiff State Beach,33.001319,-117.278388,,Cardiff By The S,San Diego -- San Elijo,CA,92007,San Diego -- San Elijo,True,2021-03-19T00:00:00.000Z,A+,A+,A+,C,A+,2018,2021-03-19T00:00:00.000Z
69,404,"Carlsbad State Beach, warm water jetty (adj. to power plant)",Carlsbad,33.137753000000000,-117.339320000000000,,Carlsbad,San Diego,CA,92008,San Diego,True,2019-03-15T00:00:00.000Z,ns,,A,ns,ns,2018,2019-03-15T00:00:00.000Z
70,288,"Carlsbad, Batiquitos Lagoon outlet",Carlsbad,33.086647000000000,-117.313137000000000,,Carlsbad,San Diego,CA,92009,San Diego,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
71,285,"Carlsbad, Encina Creek outlet",Carlsbad,33.115747000000000,-117.325412000000000,,Carlsbad,San Diego -- Encina,CA,92008,San Diego -- Encina,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-04-02T00:00:00.000Z
72,280,"Carlsbad, projection of Carlsbad Village Dr.",Carlsbad,33.156731000000000,-117.353563000000000,,Carlsbad,San Diego,CA,92008,San Diego,False,2020-11-06T00:00:00.000Z,A,ns,,,,,2020-11-06T00:00:00.000Z
73,283,"Carlsbad, projection of Cerezo Dr.",Carlsbad,33.1285,-117.333806,,Carlsbad,San Diego -- Encina,CA,92008,San Diego -- Encina,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-04-02T00:00:00.000Z
74,284,"Carlsbad, projection of Palomar Airport Rd.",Carlsbad,33.119222,-117.327111,,Carlsbad,San Diego -- Encina,CA,92008,San Diego -- Encina,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-04-02T00:00:00.000Z
75,287,"Carlsbad, projection of Poinsettia Ln.",Carlsbad,33.100545000000000,-117.319229000000000,,Carlsbad,San Diego -- Encina,CA,92009,San Diego -- Encina,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-04-02T00:00:00.000Z
76,286,"Carlsbad, projection of Ponto Dr.",Carlsbad,33.106306,-117.321583,,Carlsbad,San Diego -- Encina,CA,92008,San Diego -- Encina,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-04-02T00:00:00.000Z
77,281,"Carlsbad, projection of Tamarack Ave.",Carlsbad,33.145381000000000,-117.345170000000000,,Carlsbad,San Diego,CA,92008,San Diego,True,2021-04-02T00:00:00.000Z,A+,A+,A+,ns,ns,2018,2021-04-02T00:00:00.000Z
78,459,"Carmel City Beach, projection of Ocean Ave. (west end)",Carmel City Beach,36.555113000000000,-121.931358000000000,,Pebble Beach,Monterey,CA,93953,Monterey,True,2021-03-05T00:00:00.000Z,A+,ns,A,C,ns,2018,2021-03-05T00:00:00.000Z
79,79,Carpinteria City Beach- projection of Linden Av.,Carpinteria City Beach,34.393167000000000,-119.524944000000000,,Carpinteria,Santa Barbara,CA,93013,Santa Barbara,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
80,80,Carpinteria State Beach at Carpinteria Creek,Carpinteria State Beach,34.389917000000000,-119.519583000000000,,Carpinteria,Santa Barbara,CA,93013,Santa Barbara,True,2021-04-02T00:00:00.000Z,A+,ns,A+,F,F,2018,2021-04-02T00:00:00.000Z
81,624,Caspar Beach at Caspar Creek,Caspar Beach,39.361952000000000,-123.817857000000000,,Caspar,Mendocino,CA,95420,Mendocino,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
82,648,Castle Rock Beach,,41.765189000000000,-124.231328000000000,,,Del Norte,CA,,Del Norte,False,2010-02-09T00:00:00.000Z,ns,ns,,,,,2010-02-09T00:00:00.000Z
83,603,Castle Rock Beach just west of drain,Castlerock Beach,34.041363000000000,-118.567484000000000,,Pacific Palisade,Los Angeles -- LA City,CA,90272,Los Angeles -- LA City,True,2021-04-02T00:00:00.000Z,A+,A+,A+,D,A,2018,2021-04-02T00:00:00.000Z
84,1069,"Cayucos Beach, North of pier at outfall ",Cayucos State Beach,35.449040000000000,-120.907920000000000,,Cayucos,San Luis Obispo,CA,93430,San Luis Obispo,True,2021-04-02T00:00:00.000Z,A+,A+,,,,,2021-04-02T00:00:00.000Z
85,388,"Cayucos State Beach, between Cayucos Creek & Pier",Cayucos State Beach,35.448727000000000,-120.907047000000000,,Cayucos,San Luis Obispo,CA,93430,San Luis Obispo,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
86,391,"Cayucos State Beach, downcoast of the pier",Cayucos State Beach,35.447994000000000,-120.905312000000000,,Cayucos,San Luis Obispo,CA,93430,San Luis Obispo,True,2021-04-02T00:00:00.000Z,A+,A+,A,A+,A,2018,2021-04-02T00:00:00.000Z
87,506,Channel Islands Harbor - Beach Park at the end of rocks,C.I. Harbor,34.158099000000000,-119.224338000000000,,Oxnard,Ventura,CA,93035,Ventura,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
88,512,"Channel Islands Harbor - Beach Park, Kiddies Beach, 50' downcoast",C. I. Harbor-Beach Park,118.000000000000000,0.000000000000000,,,Ventura,CA,,Ventura,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
89,511,"Channel Islands Harbor - Beach Park, Kiddies Beach, 50' upcoast",C. I. HarborBeach Park,118.000000000000000,8.000000000000000,,,Ventura,CA,,Ventura,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
90,118,Channel Islands Harbor Beach Park- Kiddie Beach,C.I.Harbor-Beach Park,34.159515000000000,-119.222295000000000,,Oxnard,Ventura,CA,93035,Ventura,True,2021-04-02T00:00:00.000Z,A+,F,A,A,A,2018,2021-04-02T00:00:00.000Z
91,549,Chicken Ranch Beach at Creek,Chicken Ranch Beach,38.109700000000000,-122.864600000000000,,Inverness,Marin,CA,94937,Marin,True,2020-11-06T00:00:00.000Z,A+,ns,A,A+,ns,2018,2020-11-06T00:00:00.000Z
92,499,"China Beach, end of Sea Cliff Ave.",ChinaBeach,37.788216000000000,-122.491147000000000,,San Francisco,San Francisco,CA,94121,San Francisco,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A,A+,2018,2021-04-02T00:00:00.000Z
93,573,China Camp,China Camp,38.000400000000000,-122.461000000000000,,,Marin,CA,,Marin,True,2020-11-06T00:00:00.000Z,A+,ns,B,A+,ns,2018,2020-11-06T00:00:00.000Z
94,539,Clam Beach County Park near Strawberry Creek,Clam Beach County Park,40.987639000000000,-124.121466000000000,,Mc Kinleyville,Humboldt,CA,95521,Humboldt,True,2020-11-06T00:00:00.000Z,F,ns,F,C,ns,2018,2020-11-06T00:00:00.000Z
95,1054,Cleo Street (Point Zero),Laguna Main Beach,33.536910000000000,-117.781080000000000,,,Orange,CA,,Orange,True,2021-02-12T00:00:00.000Z,A+,ns,,,,,2021-02-12T00:00:00.000Z
96,409,"Colorado Lagoon, center",Colorado Lagoon,33.771050000000000,-118.134666666000000,,Long Beach,Los Angeles -- Long Beach,CA,90814,Los Angeles -- Long Beach,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
97,408,"Colorado Lagoon, north",Colorado Lagoon,33.771333333000000,-118.134050000000000,,Long Beach,Los Angeles -- Long Beach,CA,90814,Los Angeles -- Long Beach,True,2021-01-15T00:00:00.000Z,F,ns,A,D,B,2018,2021-01-15T00:00:00.000Z
98,410,"Colorado Lagoon, south",Colorado Lagoon,33.770533333000000,-118.134583333000000,,Long Beach,Los Angeles -- Long Beach,CA,90814,Los Angeles -- Long Beach,True,2021-01-22T00:00:00.000Z,B,ns,A,F,B,2018,2021-01-22T00:00:00.000Z
99,2073,Corcoran Lagoon Beach,Corcoran Lagoon Beach,36.959829000000000,-121.986315000000000,,Santa Cruz,Santa Cruz,CA,95062,Santa Cruz,True,2019-10-18T00:00:00.000Z,A+,ns,,,,,2019-10-18T00:00:00.000Z
100,203,Corona del Mar - Little Corona Beach,Little Corona Beach,33.589293000000000,-117.868704000000000,,Corona Del Mar,Orange,CA,92625,Orange,True,2021-03-26T00:00:00.000Z,A+,B,,,,,2021-03-26T00:00:00.000Z
101,295,Corona del Mar Beach,Corona Del Mar Beach,33.593030000000000,-117.875571000000000,,Corona Del Mar,Orange,CA,92625,Orange,True,2021-04-02T00:00:00.000Z,A,A+,A+,A+,A+,2018,2021-04-02T00:00:00.000Z
102,202,"Corona del Mar- Corona del Mar Beach, 200 yds. so. of breakwater",,118.000000000000000,500.000000000000000,,,Orange,CA,,Orange,False,,,,,,,,
103,368,Coronado at North Beach (near Navy fence),Coronado at North Beach,32.685840000000000,-117.193687000000000,,Coronado,San Diego,CA,92118,San Diego,False,2021-02-19T00:00:00.000Z,A+,A+,,,,,2021-02-19T00:00:00.000Z
104,514,"Coronado, NASNI Beach",Coronado at North Beach,32.686700000000000,-117.199866000000000,,"Coronado, California",San Diego,CA,92135,San Diego,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
105,371,"Coronado, Silver Strand",Coronado Beach,32.630331000000000,-117.141114000000000,,"Coronado, California",San Diego,CA,92155,San Diego,True,2021-04-02T00:00:00.000Z,A,B,A+,A+,ns,2018,2021-04-02T00:00:00.000Z
106,370,"Coronado, projection of Ave. del Sol",Coronado Beach,32.677852000000000,-117.177486000000000,,Coronado,San Diego,CA,92118,San Diego,True,2021-04-02T00:00:00.000Z,A+,ns,A,A+,ns,2018,2021-04-02T00:00:00.000Z
107,369,"Coronado, projection of Loma Ave.",Coronado,32.681959000000000,-117.184577000000000,,Coronado,San Diego,CA,92118,San Diego,False,2020-05-01T00:00:00.000Z,A+,ns,,,,,2020-05-01T00:00:00.000Z
108,129,County Line Beach - Sandy Beach,County Line Beach,34.051551000000000,-118.959972000000000,,Malibu,Ventura,CA,90265,Ventura,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A+,ns,2018,2021-04-02T00:00:00.000Z
109,644,Cowell Beach Lifeguard Tower 1,Cowell Beach,36.961244000000000,-122.023799000000000,,Santa Cruz,Santa Cruz,CA,,Santa Cruz,True,2021-03-26T00:00:00.000Z,A+,A+,B,A,B,2018,2021-03-26T00:00:00.000Z
